ticker,score_5,score_20
A,60.26342628561737,51.600748164129556
AA,55.01093969680148,22.77758634882742
AAP,41.07307924139744,47.219539919818445
AAT,35.220068068034124,62.526301993890414
AB,30.94374657939594,20.424141788124146
ABBV,56.59061722542565,45.94539337434054
ABCB,88.5455974628144,28.33815953061862
ABG,45.435386948144846,32.61769194100744
ABM,0.0,0.0
ABR,75.98544097224664,54.127904210334954
ABT,23.817722037157253,45.10498922246936
AC,3.2576732097164607,18.37476704166742
ACA,57.20786290381528,24.424690020312966
ACCO,54.42245413891117,36.930921976153485
ACEL,60.4239728492889,39.58639355009875
ACHR,54.58387615300333,3.9657643673940743
ACI,15.243093647851396,0.0
ACM,53.39962421293077,42.02120985332807
ACVA,64.54590551528884,6.720055408599678
ADC,13.80765764541568,41.51950958606314
ADM,32.40132006849974,16.052268051647435
ADNT,61.42888249933575,22.100225933479074
ADT,15.787668990502123,40.9003297874142
AEE,16.62592397629756,45.22855380630325
AEO,18.89748277987449,12.0574705946049
AES,69.31653212421779,29.90399451216103
AESI,47.760148102402695,50.73276440075638
AFG,43.71751476016389,61.11476401121814
AFGB,37.58973237754137,43.711250354452204
AFGC,48.70084727540139,0.0
AFGD,25.55493681834725,41.72891332550153
AFGE,40.070671352575545,22.37541842788273
AFL,41.37486468709909,49.74932544645213
AGCO,60.891109749093,10.766110656604745
AGL,9.1179181391876,30.893221144741574
AGM,81.59408311499072,24.575641014194524
AGS,43.2087836138762,73.23440500699417
AGX,63.19183675796498,61.47922994970611
AHH,75.85273679913232,12.037216645116864
AHR,78.63472128605946,20.07446809754769
AI,20.80518669292209,45.7799664789834
AIG,55.04349868407045,92.15323046521176
AIN,61.67999772128585,25.594771044980636
AIR,44.92966426153945,41.97735489883329
AIT,63.185090633295175,58.91956986840211
AIV,51.187829981045816,49.0896881803611
AIZ,17.414740989668935,56.86860962400758
AIZN,18.877807136813367,0.0
AJG,8.287108873502959,19.643964071841324
AKR,100.0,31.115380337152395
AL,70.75356184333653,33.423033211225196
ALB,55.79863956207029,44.78961852994662
ALE,36.384860734007205,46.82502051120599
ALEX,46.63179666618762,60.199506410628
ALG,56.127150912751894,32.25285930402263
ALIT,60.717490427181545,12.051413043274515
ALK,86.5722621461803,19.206459300742356
ALL,23.59469391662615,37.85588933232721
ALLE,37.264921531197224,13.133096602102253
ALLY,72.9973364319911,22.072201837874577
ALSN,68.28366243757576,26.003649961559525
ALX,4.413230797979583,50.2924520179906
AM,45.29841734529168,28.703294427749583
AMBC,0.0,1.1638441543438622
AMC,55.2027430064463,25.243680804482487
AME,68.62671490035693,18.77508112696244
AMG,47.96390687982698,30.999387947675114
AMH,0.0,0.0
AMN,60.20608946831557,0.0
AMP,88.64736659257628,23.072603823261403
AMPX,68.00378978501418,30.28766283445055
AMR,40.6400013195465,0.0
AMRC,50.82117456644483,30.051094837743374
AMT,0.0,37.996482734377274
AMTB,45.70874550995913,37.896403735006
AMTM,55.318853268934525,38.247997943206016
AN,69.87711943373793,24.06665034436547
ANET,48.20508222822353,30.551155240744922
ANF,58.76589169698332,46.854741442188924
AON,10.323130841050096,63.36811695252394
AORT,35.82530534061589,10.435520467172074
AOS,60.79433368670861,16.339547539757405
APAM,67.60339995537323,22.31050707380006
APD,13.877457677914284,55.86512813678396
APG,61.87953264040335,17.551163766625045
APH,40.56326226215614,55.72956736123792
APLE,66.7123395546399,34.459367152531314
APO,100.0,20.135293341367525
APOS,50.07716727401741,0.0
AQN,26.743897231622483,67.03518613151567
AQNB,30.546120033892947,34.85223768365072
AR,78.2652653180682,19.263805004186533
ARDC,11.852588758257543,9.337042516828642
ARDT,72.53475899872839,31.69361054285381
ARE,53.901216072117755,50.612119945943995
ARES,55.53973700316004,25.528495981378253
ARI,76.60426123716759,23.770417001250003
ARIS,61.989484913704096,77.19887255018811
ARLO,55.11639001237574,44.000040953576665
ARMK,11.07745668038256,28.449984541164575
AROC,71.86556570533159,65.720378483957
ARR,45.630491640334,36.11076741228014
ARW,63.085729248395246,30.338876822899973
ASA,12.392631945416396,72.83204285349638
ASAN,7.316841990662543,0.0
ASB,84.3900272516231,30.37454865293144
ASBA,2.9285223363692126,27.665265316321864
ASGN,62.563132676514435,34.135031210918825
ASH,57.104295155492444,27.166384340889714
ASIX,63.09942491594576,20.614632434441837
ASPN,56.54318420350968,17.645619177128204
ATEN,60.91499994258483,47.19137342708777
ATGE,16.655947648074065,27.9066196186729
ATI,44.942253275137794,35.919221191080325
ATKR,63.43677353097679,29.21505923637256
ATMU,52.3021738270271,16.71023228960059
ATO,13.223660870347047,20.383695850395444
ATR,27.94731097230336,4.930970226572885
ATUS,48.75417084353853,4.315747356275217
AUB,83.33570896033861,23.10291505635609
AVA,16.957927103476536,39.22595533820686
AVB,17.87225360081161,53.51719192480981
AVNS,52.92790471789188,8.547970700248431
AVNT,67.16683860600757,18.501965978149286
AVTR,33.79200660747322,67.1650652368213
AVY,62.105820331476316,18.133783959160887
AWI,44.5248860332528,16.070745883275578
AWK,29.70000411070973,42.9360643674296
AWR,7.295925018237962,15.47387131003115
AX,81.97568137552962,17.174595007292393
AXL,20.090173487075035,2.0793992386388407
AXP,88.82913506572952,24.20600237772412
AXTA,59.565140607019266,31.326034615620188
AYI,66.68144640663806,24.78263505619101
AZEK,22.357234211197,59.75778824550949
AZO,5.068325708613995,1.3366411700130922
AZZ,37.87443747904055,32.87815397810597
BA,1.799017777392637,19.251555639894526
BAC,79.26192644015782,35.51253057468828
BAH,51.40459395596226,22.348119895367336
BALL,57.92149267455,12.229027289932706
